"","0.125","0.25","0.5","1","2"
"MSTRG.1039.3",0.272744906178295,-0.0448228172860866,-0.283702825997515,0.484436110772673,1.01663891827734
"MSTRG.1047.3",-0.396670509224073,-0.266590308792948,0.40056146620714,1.11955569903102,3.06042782431285
"MSTRG.1062.A",-0.696724831908148,-0.399672835756335,-0.00167566495805032,0.711513410047902,1.30182008116774
"MSTRG.1062.D",-0.506355600218166,-0.00202239345230797,0.465615240280574,0.758245024145243,1.09494496436346
"MSTRG.1079.12",-0.175363426308052,-0.35082137880268,-0.600626121567952,-1.25622895598388,-0.378398988592793
"MSTRG.111.11",-0.319170890932744,-1.12654633649692,-0.146906941493849,0.584965975220805,-0.000388634709198746
"MSTRG.1154.4",0,0,1.11871176346347,4.08523019471135,8.53157008300233
"MSTRG.1197.A",-0.9640366483896,-0.479715328938785,-0.635639134676601,-0.517031264692255,1.02594751660082
"MSTRG.1204.A",-0.0989593982230142,0.272468611738825,-0.196472078439046,-0.439577142781499,1.38121425112749
"MSTRG.1218.B",-0.488180860672336,-0.137381097245017,-0.0502019716333593,0.163661313554929,1.02314875879664
"MSTRG.1223.B",0.352534700807843,-0.100536446759151,-0.801894917752728,-0.485317191885344,1.27594435481071
"MSTRG.1364.3",-1.28085875315899,-0.451724037151685,-0.0748219374387889,1.16485362788985,1.76179256482031
"MSTRG.1367.7",-0.0488699075023162,0.150164864119859,1.08753641174961,1.93072114772081,4.25259586598146
"MSTRG.1376.10",0.305454747801701,-0.0782087228517705,0.746713146810843,1.23969334263434,5.0172602649985
"MSTRG.1379.A",-0.474148267123403,-1.18103433943397,0.982038369086905,1.64906099940259,2.8587690812319
"MSTRG.1381.A",-1.22546413296151,-1.03232396695362,-0.841381619346115,-1.3995876876227,-0.169434009502534
"MSTRG.1384.5",-1.15476582778767,-1.20132107328469,-1.50590898267815,-1.55350416633607,-1.12957777197294
"MSTRG.1389.A",-1.19396459736677,-1.06799499098861,-0.535864849360791,-0.342353449446285,0.398928548370837
"MSTRG.1394.2",0.630739397619151,0.543426592732202,0.767182035588932,1.02626047693041,1.37310959264002
"MSTRG.1397.A",-0.134996160694293,-0.165530067925095,-0.0566813145168255,0.709612905211759,1.51783901337772
"MSTRG.1419.A",-0.576881184884377,-0.97942291534686,-0.151264673699504,0.565537227692086,3.08873972186485
"MSTRG.1422.19",0.333025529723746,0.460965771716338,2.02963893362571,2.74451093700032,3.25323876447263
"MSTRG.1425.25",0.539411988004254,0.627650274919584,0.780428247552552,0.589439529771453,4.40732176587556
"MSTRG.1448.25",-0.0616211464647764,-0.296819675466397,-1.35662218284198,-1.21702733313034,-1.15325654472628
"MSTRG.1455.14",-0.307966002722832,-0.816501605635751,-0.115078836619711,0.965483625880135,1.60325976360404
"MSTRG.1464.34",-0.0489136028759785,0.172895271541925,1.33991621980855,2.84145716900368,3.31281154889397
"MSTRG.1475.39",0.478412395338295,0.524408321362931,0.770761583951907,0.689860343486877,1.24499943229105
"MSTRG.1529.A",-0.627123613178257,-1.01400765035065,-0.167004130324444,0.0851991581604197,-0.0243497134331798
"MSTRG.154.A",-0.755215149264662,-0.403667650496612,-1.53500689077469,-1.4932018280065,-2.14612209424419
"MSTRG.1541.5",-0.766875699741288,-1.31351565050004,-0.339184885984043,-0.339370388693457,0.646763837114886
"MSTRG.155.3",-0.509394357420852,-0.908469281978273,-1.33567805613882,-1.09991871865077,-1.09467280848917
"MSTRG.1554.A",0.348241099954218,1.21680894461409,2.75076022102208,3.42009309966924,3.9282942743226
"MSTRG.1615.A",-1.62660750576215,-1.32281633867506,-1.18313158970777,-1.57291669556023,-0.770379867575999
